transaction_id,customer_id,amount,timestamp,location_city,lat,lon,merchant_type,device_id,payment_mode,is_fraud
TXN_002339,CUST_0077,1.81,2026-04-12 03:06:50.522932,Tokyo,35.6895,139.6917,Health,DEV_0118,Credit Card,1
TXN_000840,CUST_0305,131.26,2026-04-12 11:48:19.522932,Dubai,25.2048,55.2708,Food,DEV_0237,Debit Card,0
TXN_002620,CUST_0005,102.55,2026-04-12 12:05:00.522932,Tokyo,35.6895,139.6917,Food,DEV_0104,Credit Card,0
TXN_002743,CUST_0477,77.09,2026-04-12 12:18:42.522932,Singapore,1.3521,103.8198,Entertainment,DEV_0131,Credit Card,0
TXN_003978,CUST_0448,43.08,2026-04-12 12:28:52.522932,Paris,48.8566,2.3522,Entertainment,DEV_0220,Wire Transfer,0
TXN_001825,CUST_0012,2.58,2026-04-12 12:31:17.522932,Dubai,25.2048,55.2708,Health,DEV_0198,Credit Card,0
TXN_003184,CUST_0231,4.01,2026-04-12 12:42:51.522932,Singapore,1.3521,103.8198,Retail,DEV_0179,Debit Card,0
TXN_003933,CUST_0235,310.73,2026-04-12 12:57:16.522932,New York,40.7128,-74.006,Travel,DEV_0112,Debit Card,0
TXN_001896,CUST_0413,17.11,2026-04-12 13:01:59.522932,Dubai,25.2048,55.2708,Retail,DEV_0116,Debit Card,0
TXN_003671,CUST_0003,22.0,2026-04-12 13:06:15.522932,Singapore,1.3521,103.8198,Travel,DEV_0192,Wire Transfer,0
TXN_004876,CUST_0207,15.52,2026-04-12 13:10:56.522932,Tokyo,35.6895,139.6917,Health,DEV_0127,Debit Card,0
TXN_000126,CUST_0264,32.52,2026-04-12 13:15:24.522932,New York,40.7128,-74.006,Online,DEV_0181,Credit Card,0
TXN_003722,CUST_0309,81.61,2026-04-12 13:25:59.522932,Mumbai,19.076,72.8777,Online,DEV_0075,Mobile Wallet,0
TXN_001132,CUST_0359,396.42,2026-04-12 13:27:43.522932,Paris,48.8566,2.3522,Health,DEV_0004,Debit Card,0
TXN_002669,CUST_0242,8.5,2026-04-12 13:32:33.522932,Singapore,1.3521,103.8198,Entertainment,DEV_0167,Credit Card,0
TXN_004521,CUST_0292,99.41,2026-04-12 13:40:12.522932,Paris,48.8566,2.3522,Retail,DEV_0144,Debit Card,0
TXN_003033,CUST_0238,222.15,2026-04-12 13:43:37.522932,Singapore,1.3521,103.8198,Entertainment,DEV_0047,Credit Card,0
TXN_001706,CUST_0254,278.88,2026-04-12 13:57:01.522932,Tokyo,35.6895,139.6917,Services,DEV_0000,Credit Card,0
TXN_000343,CUST_0079,36.79,2026-04-12 14:11:13.522932,Dubai,25.2048,55.2708,Health,DEV_0241,Debit Card,0
TXN_003790,CUST_0357,74.84,2026-04-12 14:20:01.522932,Singapore,1.3521,103.8198,Travel,DEV_0046,Wire Transfer,0
TXN_001210,CUST_0412,92.82,2026-04-12 14:29:54.522932,Mumbai,19.076,72.8777,Retail,DEV_0003,Debit Card,0
TXN_002505,CUST_0398,37.75,2026-04-12 14:39:15.522932,London,51.5074,-0.1278,Food,DEV_0191,Credit Card,0
TXN_002471,CUST_0102,24.34,2026-04-12 14:49:46.522932,New York,40.7128,-74.006,Online,DEV_0033,Debit Card,0
TXN_002640,CUST_0341,24.76,2026-04-12 15:02:22.522932,London,51.5074,-0.1278,Retail,DEV_0081,Debit Card,0
TXN_001989,CUST_0148,132.75,2026-04-12 15:03:09.522932,Tokyo,35.6895,139.6917,Online,DEV_0224,Wire Transfer,0
TXN_000845,CUST_0215,307.9,2026-04-12 15:17:27.522932,Paris,48.8566,2.3522,Food,DEV_0229,Credit Card,0
TXN_002380,CUST_0464,61.14,2026-04-12 15:20:23.522932,New York,40.7128,-74.006,Food,DEV_0222,Credit Card,0
TXN_000455,CUST_0087,26.55,2026-04-12 15:29:42.522932,New York,40.7128,-74.006,Health,DEV_0066,Mobile Wallet,0
TXN_004414,CUST_0010,20.4,2026-04-12 15:33:51.522932,Paris,48.8566,2.3522,Retail,DEV_0157,Debit Card,0
TXN_001857,CUST_0363,249.13,2026-04-12 15:37:43.522932,Mumbai,19.076,72.8777,Retail,DEV_0200,Debit Card,0
TXN_004093,CUST_0253,59.48,2026-04-12 15:43:52.522932,Dubai,25.2048,55.2708,Travel,DEV_0194,Mobile Wallet,0
TXN_000640,CUST_0005,42.05,2026-04-12 15:52:24.522932,Tokyo,35.6895,139.6917,Entertainment,DEV_0104,Credit Card,0
TXN_003450,CUST_0309,21.63,2026-04-12 16:09:07.522932,Mumbai,19.076,72.8777,Retail,DEV_0075,Wire Transfer,0
TXN_003369,CUST_0135,8.88,2026-04-12 16:40:25.522932,Mumbai,19.076,72.8777,Entertainment,DEV_0207,Credit Card,0
TXN_002318,CUST_0198,90.83,2026-04-12 16:49:33.522932,Paris,48.8566,2.3522,Food,DEV_0091,Mobile Wallet,0
TXN_001617,CUST_0084,9.69,2026-04-12 16:49:35.522932,New York,40.7128,-74.006,Online,DEV_0103,Mobile Wallet,1
TXN_003144,CUST_0039,109.68,2026-04-12 16:56:10.522932,Mumbai,19.076,72.8777,Online,DEV_0003,Credit Card,0
TXN_000267,CUST_0382,3.78,2026-04-12 17:07:19.522932,London,51.5074,-0.1278,Retail,DEV_0204,Wire Transfer,0
TXN_001541,CUST_0097,52.12,2026-04-12 17:12:34.522932,Dubai,25.2048,55.2708,Entertainment,DEV_0233,Mobile Wallet,0
TXN_001873,CUST_0129,25.06,2026-04-12 17:27:51.522932,New York,40.7128,-74.006,Online,DEV_0029,Credit Card,0
TXN_000418,CUST_0006,242.73,2026-04-12 17:34:46.522932,London,51.5074,-0.1278,Entertainment,DEV_0015,Wire Transfer,0
TXN_001801,CUST_0303,12.1,2026-04-12 17:50:06.522932,Paris,48.8566,2.3522,Services,DEV_0146,Wire Transfer,0
TXN_002218,CUST_0408,39.9,2026-04-12 18:15:14.522932,Tokyo,35.6895,139.6917,Online,DEV_0016,Mobile Wallet,0
TXN_002548,CUST_0243,80.49,2026-04-12 18:17:29.522932,New York,40.7128,-74.006,Online,DEV_0122,Credit Card,0
TXN_003210,CUST_0483,6.82,2026-04-12 18:26:23.522932,Dubai,25.2048,55.2708,Retail,DEV_0159,Credit Card,0
TXN_000559,CUST_0345,14.01,2026-04-12 18:41:03.522932,London,51.5074,-0.1278,Food,DEV_0186,Mobile Wallet,0
TXN_004832,CUST_0246,51.53,2026-04-12 18:42:49.522932,Tokyo,35.6895,139.6917,Services,DEV_0098,Debit Card,0
TXN_002871,CUST_0083,249.02,2026-04-12 19:02:46.522932,Mumbai,19.076,72.8777,Online,DEV_0053,Wire Transfer,0
TXN_002384,CUST_0065,131.97,2026-04-12 19:05:22.522932,Mumbai,19.076,72.8777,Retail,DEV_0030,Wire Transfer,0
TXN_002289,CUST_0331,18.49,2026-04-12 19:14:42.522932,London,51.5074,-0.1278,Services,DEV_0132,Wire Transfer,0
TXN_000064,CUST_0021,84.96,2026-04-12 19:18:57.522932,Mumbai,19.076,72.8777,Food,DEV_0012,Credit Card,0
